板块,产品/服务,子产品/规格,定价（元）,单位,说明,备注
,,, ,,,
引擎A·餐饮,室外散客餐饮矩阵,柴火灶炒菜（灶台费+基础食材包）,88,元/位,,价格未经测算
引擎A·餐饮,室外散客餐饮矩阵,柴火灶加料（超出的食材单点）,时价,元/份,,价格未经测算
引擎A·餐饮,室外散客餐饮矩阵,火锅（按位收费）,88,元/位,含汤底+基础涮菜+调料,价格未经测算
引擎A·餐饮,室外散客餐饮矩阵,烧烤食材包（基础档）,88,元/位,,
引擎A·餐饮,室外散客餐饮矩阵,烧烤食材包（基础档）,128,元/2-3人份,,价格未经测算
引擎A·餐饮,室外散客餐饮矩阵,烧烤食材包（标准档）,188,元/2-3人份,,价格未经测算
引擎A·餐饮,室外散客餐饮矩阵,烧烤食材包（豪华档）,268,元/2-3人份,,价格未经测算
引擎A·餐饮,窑炉产品,现烤面包,18-28,元/个,,价格未经测算
引擎A·餐饮,窑炉产品,现烤披萨,38,元/个,,价格未经测算
引擎A·餐饮,窑炉产品,披萨DIY体验,48,元/个,含1个披萨食材+员工协助,价格未经测算
引擎A·餐饮,农村大席,基础档,78,元/位,最低15人起订,价格未经测算
引擎A·餐饮,农村大席,标准档,98,元/位,最低15人起订,价格未经测算
引擎A·餐饮,农村大席,豪华档,118,元/位,最低15人起订,价格未经测算
引擎A·餐饮,松林野餐篮,经典款（松间轻食篮）,78,元/篮,1人份,价格未经测算
引擎A·餐饮,松林野餐篮,亲子款（亲子野趣篮）,128,元/篮,2大1小份,价格未经测算
引擎A·餐饮,松林野餐篮,升级款（松林野奢篮）,158,元/篮,2人份,价格未经测算
,,, ,,,
引擎B·露营住宿,散客露营,模式A（自带装备+餐食）,9.9,元/人,仅场地费,价格未经测算
引擎B·露营住宿,散客露营,模式B（农场提供装备+食材）,88,元/人,打包套餐价（餐饮部分详见引擎A）,价格未经测算
引擎B·露营住宿,长搭露营,年费小院（约100㎡）,3600,元/年,客户自搭帐篷+自软装,价格未经测算
引擎B·露营住宿,小院共创,年费方案（使用权）,3600,元/年,长期储备产品，价格待定,价格未经测算
引擎B·露营住宿,小院共创,一次性建院费,,元/院,按面积算，价格未定,价格未经测算
引擎B·露营住宿,团建/宴会,场地+大席+活动套餐,待定,元/人,根据人数和档次定制报价,价格未经测算
引擎B·露营住宿,自然运动会,家庭套票（2大1小或1大1小）,待定,元/组,含3-5个项目参与资格,价格未经测算
引擎B·露营住宿,四季庆典,早鸟入场券,19.9,元/人,活动前2周预售,价格未经测算
引擎B·露营住宿,四季庆典,现场入场券,29.9,元/人,活动当日,价格未经测算
,,, ,,,
自然手作卫星·自然教育,引流课,单次体验,68,元/人,不含餐，1-1.5小时,价格未经测算
自然手作卫星·自然教育,深度课,单次深度体验,198,元/人,不含餐，2-3小时,价格未经测算
自然手作卫星·自然教育,节气年卡,全年24次节气课,1280-1680,元/年,折合53-70元/次，不含餐,价格未经测算
,,, ,,,
自然手作卫星·手作体验,驱蚊膏体验课,制作2罐带走,68,元/人,夏季刚需产品,价格未经测算
自然手作卫星·手作体验,驱蚊膏零售,成品购买,28,元/罐,体验课后复购,价格未经测算
自然手作卫星·手作体验,手工皂体验课,制作3块带走,68,元/人,无季节性限制,价格未经测算
自然手作卫星·手作体验,手工皂零售,成品购买,28,元/块,体验课后复购,价格未经测算
自然手作卫星·手作体验,植物洗发液体验课,制作1瓶带走,88,元/人,实用性强,价格未经测算
自然手作卫星·手作体验,植物洗发液零售,成品购买,48,元/瓶,体验课后复购,价格未经测算
